year,oil,gas,condensate,ngl
1971,0.357118,0.0,0.0,0.0
1972,1.92702,0.0,0.0,0.0
1973,1.86952,0.0,0.0,0.0
1974,2.014168,0.0,0.0,0.0
1975,10.995331,0.0,0.0,0.0
1976,16.226786,0.0,0.0,0.0
1977,16.642542,2.6549,0.002345,0.0
1978,20.644427,14.200745,0.020661,0.0
1979,22.477875,20.669725,0.044001,1.127607
1980,28.22122999999999,25.08831699999999,0.04822699999999999,2.439963
1981,27.48451700000001,24.95112199999999,0.04845000000000001,2.168221
1982,28.52830400000001,23.960037,0.043153,2.285895999999999
1983,35.645491,23.61257199999999,0.04132,2.679694
1984,41.09305400000001,25.962595,0.06375300000000002,2.642282000000001
1985,44.75787399999998,26.18565399999999,0.075506,2.967692
1986,48.771114,26.08970299999999,0.06112300000000002,3.845358
1987,56.95912100000002,28.15088599999999,0.05454500000000002,4.116557999999999
1988,64.723013,28.32957000000001,0.04734500000000001,4.845674999999999
1989,85.983234,28.73773099999999,0.05277,4.897912
1990,94.542213,25.47945100000001,0.04831199999999999,5.011442000000002
1991,108.5099190000001,25.027012,0.05722699999999998,4.897442
1992,123.999034,25.83365900000001,0.05377999999999999,4.959232000000002
1993,131.843462,24.803848,0.4742210000000001,5.51794
1994,146.28226,26.84160800000002,2.402937,7.122063999999999
1995,156.7759010000001,27.81360000000001,3.178058,7.941657999999996
1996,175.5013399999999,37.39794300000001,3.784107999999999,8.232091999999998
1997,175.913798,42.94472300000002,5.375701,8.073593999999993
1998,168.743746,44.19456400000001,5.047382,7.389690000000007
1999,168.6897159999999,48.470793,5.512490000000001,6.992057000000001
2000,181.1805669999998,49.795949,5.410686999999999,7.225368999999997
2001,180.8844530000001,54.03648999999997,5.665544000000001,10.92394699999999
2002,173.6491179999999,65.59389499999997,7.323183999999998,11.798178
2003,165.475166,72.95994100000001,10.33862,12.93147099999999
2004,162.7775619999999,79.31076099999999,8.674681,13.64288400000001
2005,148.1367410000001,85.842598,7.951656000000002,15.80587100000001
2006,136.5774550000001,88.668296,7.625018999999999,16.695619
2007,128.275976,90.30972499999996,3.126045,16.62896100000002
2008,122.638446,100.079415,3.923854000000001,16.94187000000002
2009,114.9590380000001,104.2460710000001,4.439724999999997,16.96147800000001
2010,104.3940820000001,106.997868,4.171149000000009,15.550381
2011,97.43551999999997,101.2663879999999,4.583334,16.31403800000001
2012,89.18248299999999,114.722946,4.574853999999999,17.79886500000001
2013,84.92715200000009,108.745994,3.99116,17.718271
2014,87.7489740000001,108.303415,2.912421,18.802242
2015,90.85373200000012,117.008441,2.468274000000001,19.60620900000001
2016,93.93300099999998,116.766681,1.933167,20.309446
2017,92.2782510000001,124.6788919999999,1.707402,20.43621000000004
2018,86.16291499999986,122.244847,1.714225,19.456551
2019,81.86078199999997,115.1619549999999,1.65548,17.415716
2020,98.39005699999997,112.326175,1.282334,16.96817399999999
2021,102.313679,115.194184,0.7060949999999999,14.637462
2022,97.70653799999994,124.196644,1.088673,11.51065500000001
2023,104.0861380000001,117.31102,1.161143,11.95405099999999
2024,102.853171,126.237814,1.290177,12.21584900000001
