Year,Oil,Condensate,NGL,Gas,TotalOilEquivalents
1971,0.357118,0.0,0.0,0.0,0.357118
1972,1.92702,0.0,0.0,0.0,1.92702
1973,1.86952,0.0,0.0,0.0,1.86952
1974,2.014168,0.0,0.0,0.0,2.014168
1975,10.995331,0.0,0.0,0.0,10.995331
1976,16.226786,0.0,0.0,0.0,16.226786
1977,16.642542,0.002345,0.0,2.6549,19.299787
1978,20.644427,0.020661,0.0,14.200745,34.86583299999999
1979,22.477875,0.044001,1.127607,20.669725,44.31920800000002
1980,28.22122999999999,0.04822699999999999,2.439963,25.08831699999999,55.79773700000001
1981,27.48451700000001,0.04845000000000001,2.168221,24.95112199999999,54.65230999999999
1982,28.52830400000001,0.043153,2.285895999999999,23.960037,54.81739000000002
1983,35.645491,0.04132,2.679694,23.61257199999999,61.979077
1984,41.09305400000001,0.06375300000000002,2.642282000000001,25.962595,69.76168400000002
1985,44.75787399999998,0.075506,2.967692,26.18565399999999,73.98672599999995
1986,48.771114,0.06112300000000002,3.845358,26.08970299999999,78.76729799999998
1987,56.95912100000002,0.05454500000000002,4.116557999999999,28.15088599999999,89.28110999999996
1988,64.723013,0.04734500000000001,4.845674999999999,28.32957000000001,97.94560299999995
1989,85.983234,0.05277,4.897912,28.73773099999999,119.671647
1990,94.542213,0.04831199999999999,5.011442000000002,25.47945100000001,125.081418
1991,108.5099190000001,0.05722699999999998,4.897442,25.027012,138.4916000000001
1992,123.999034,0.05377999999999999,4.959232000000002,25.83365900000001,154.8457050000001
1993,131.843462,0.4742210000000001,5.51794,24.803848,162.639471
1994,146.28226,2.402937,7.122063999999999,26.84160800000002,182.6488689999999
1995,156.7759010000001,3.178058,7.941657999999996,27.81360000000001,195.7092170000001
1996,175.5013399999999,3.784107999999999,8.232091999999998,37.39794300000001,224.9154830000002
1997,175.913798,5.375701,8.073593999999993,42.94472300000002,232.3078160000002
1998,168.743746,5.047382,7.389690000000007,44.19456400000001,225.375382
1999,168.6897159999999,5.512490000000001,6.992057000000001,48.470793,229.6650559999999
2000,181.1805669999998,5.410686999999999,7.225368999999997,49.795949,243.6125719999999
2001,180.8844530000001,5.665544000000001,10.92394699999999,54.03648999999997,251.5104340000001
2002,173.6491179999999,7.323183999999998,11.798178,65.59389499999997,258.3643750000001
2003,165.475166,10.33862,12.93147099999999,72.95994100000001,261.7051980000002
2004,162.7775619999999,8.674681,13.64288400000001,79.31076099999999,264.4058880000002
2005,148.1367410000001,7.951656000000002,15.80587100000001,85.842598,257.736866
2006,136.5774550000001,7.625018999999999,16.695619,88.668296,249.5663889999999
2007,128.275976,3.126045,16.62896100000002,90.30972499999996,238.3407069999999
2008,122.638446,3.923854000000001,16.94187000000002,100.079415,243.5835850000001
2009,114.9590380000001,4.439724999999997,16.96147800000001,104.2460710000001,240.6063120000003
2010,104.3940820000001,4.171149000000009,15.550381,106.997868,231.1134799999999
2011,97.43551999999997,4.583334,16.31403800000001,101.2663879999999,219.5992799999997
2012,89.18248299999999,4.574853999999999,17.79886500000001,114.722946,226.2791479999997
2013,84.92715200000009,3.99116,17.718271,108.745994,215.3825770000001
2014,87.7489740000001,2.912421,18.802242,108.303415,217.7670520000001
2015,90.85373200000012,2.468274000000001,19.60620900000001,117.008441,229.936656
2016,93.93300099999998,1.933167,20.309446,116.766681,232.9422949999999
2017,92.2782510000001,1.707402,20.43621000000004,124.6788919999999,239.1007530000002
2018,86.16291499999986,1.714225,19.456551,122.244847,229.5785360000001
2019,81.86078199999997,1.65548,17.415716,115.1619549999999,216.0939319999999
2020,98.39005699999997,1.282334,16.96817399999999,112.326175,228.966737
2021,102.313679,0.7060949999999999,14.637462,115.194184,232.851419
2022,97.70653799999994,1.088673,11.51065500000001,124.196644,234.5025099999999
2023,104.0861380000001,1.161143,11.95405099999999,117.31102,234.5123509999999
2024,85.79462300000009,1.078964,10.09806200000001,104.123074,201.094723
